2020;53;2021.01.02.;0;0 Ft;20;2 441 725 Ft;2279;23 215 Ft;67548;2 050 Ft;7;45;65;86;88
2020;52;2020.12.26.;0;0 Ft;21;2 067 730 Ft;2289;20 550 Ft;66201;1 860 Ft;11;14;22;48;85
2020;51;2020.12.19.;1;3 959 964 415 Ft;66;934 325 Ft;5254;12 640 Ft;122711;1 410 Ft;2;19;27;29;86
2020;50;2020.12.12.;0;0 Ft;87;689 895 Ft;4893;13 210 Ft;106942;1 575 Ft;7;37;39;67;72
2020;49;2020.12.05.;0;0 Ft;74;781 150 Ft;5460;11 400 Ft;122280;1 325 Ft;4;7;28;58;77
2020;48;2020.11.28.;0;0 Ft;35;1 599 670 Ft;3410;17 680 Ft;83740;1 875 Ft;38;43;48;64;75
2020;47;2020.11.21.;0;0 Ft;43;1 316 115 Ft;3492;17 455 Ft;90086;1 765 Ft;15;32;42;54;75
2020;46;2020.11.14.;0;0 Ft;41;1 533 055 Ft;3707;18 260 Ft;107291;1 645 Ft;8;13;30;61;68
2020;45;2020.11.07.;0;0 Ft;49;1 125 315 Ft;3394;17 495 Ft;82317;1 880 Ft;15;37;65;68;73
2020;44;2020.10.31.;0;0 Ft;10;5 322 625 Ft;1958;29 275 Ft;76797;1 945 Ft;3;62;71;77;78
2020;43;2020.10.24.;0;0 Ft;25;2 120 500 Ft;2818;20 260 Ft;89709;1 660 Ft;1;12;54;55;67
2020;42;2020.10.17.;0;0 Ft;45;1 196 240 Ft;3312;17 505 Ft;84938;1 780 Ft;4;15;48;64;88
2020;41;2020.10.10.;0;0 Ft;61;889 205 Ft;4442;12 720 Ft;113248;1 315 Ft;3;12;27;38;47
2020;40;2020.10.03.;0;0 Ft;29;1 772 490 Ft;3187;16 800 Ft;75378;1 875 Ft;20;36;54;72;76
2020;39;2020.09.26.;0;0 Ft;82;615 445 Ft;2765;19 840 Ft;76280;1 870 Ft;8;23;72;80;90
2020;38;2020.09.19.;0;0 Ft;53;959 100 Ft;3614;15 290 Ft;90478;1 590 Ft;5;24;28;34;58
2020;37;2020.09.12.;0;0 Ft;18;2 862 020 Ft;2018;26 640 Ft;65183;2 165 Ft;2;24;61;75;85
2020;36;2020.09.05.;0;0 Ft;22;2 238 145 Ft;2371;21 670 Ft;73035;1 845 Ft;11;15;16;27;60
2020;35;2020.08.29.;0;0 Ft;19;2 449 835 Ft;1998;25 415 Ft;59944;2 190 Ft;34;50;55;63;66
2020;34;2020.08.22.;0;0 Ft;22;2 082 060 Ft;2225;22 460 Ft;64365;2 005 Ft;8;25;72;80;90
2020;33;2020.08.15.;0;0 Ft;59;822 690 Ft;4101;12 375 Ft;99896;1 345 Ft;12;13;28;45;49
2020;32;2020.08.08.;0;0 Ft;18;2 613 395 Ft;2268;21 685 Ft;72841;1 790 Ft;17;18;55;59;67
2020;31;2020.08.01.;0;0 Ft;14;3 115 365 Ft;2132;22 405 Ft;64862;1 920 Ft;13;42;51;82;89
2020;30;2020.07.25.;0;0 Ft;17;2 568 805 Ft;1714;27 905 Ft;54840;2 275 Ft;1;16;58;76;87
2020;29;2020.07.18.;1;1 700 440 475 Ft;24;2 202 785 Ft;2621;20 945 Ft;74249;1 970 Ft;12;32;48;75;88
2020;28;2020.07.11.;0;0 Ft;23;2 206 750 Ft;3266;16 785 Ft;90612;1 570 Ft;19;21;26;37;88
2020;27;2020.07.04.;0;0 Ft;17;2 883 210 Ft;1929;26 425 Ft;64200;2 105 Ft;16;53;66;68;69
2020;26;2020.06.27.;0;0 Ft;41;1 161 925 Ft;2860;18 045 Ft;76311;1 770 Ft;2;14;15;43;65
2020;25;2020.06.20.;0;0 Ft;63;783 045 Ft;4739;10 845 Ft;101542;1 335 Ft;5;8;12;16;68
2020;24;2020.06.13.;0;0 Ft;31;1 553 310 Ft;2580;20 285 Ft;72342;1 880 Ft;5;18;31;44;80
2020;23;2020.06.06.;0;0 Ft;27;1 716 520 Ft;2410;20 905 Ft;67058;1 955 Ft;18;31;56;68;83
2020;22;2020.05.30.;0;0 Ft;35;1 300 455 Ft;2588;19 115 Ft;66194;1 945 Ft;32;36;55;64;68
2020;21;2020.05.23.;0;0 Ft;34;1 337 355 Ft;2539;19 465 Ft;68630;1 870 Ft;2;23;29;62;87
2020;20;2020.05.16.;0;0 Ft;18;2 572 475 Ft;1924;26 255 Ft;54758;2 385 Ft;30;54;55;81;89
2020;19;2020.05.09.;1;391 793 080 Ft;30;1 545 605 Ft;1733;29 190 Ft;49078;2 665 Ft;30;57;58;61;86
2020;18;2020.05.02.;0;0 Ft;10;4 328 840 Ft;1480;32 035 Ft;51493;2 400 Ft;8;47;50;87;89
2020;17;2020.04.25.;1;846 015 625 Ft;14;3 307 505 Ft;1674;30 295 Ft;54143;2 445 Ft;34;45;66;84;87
2020;16;2020.04.18.;0;0 Ft;17;2 704 955 Ft;1851;27 210 Ft;60151;2 185 Ft;1;25;64;71;83
2020;15;2020.04.11.;0;0 Ft;11;4 250 615 Ft;1810;28 295 Ft;54638;2 445 Ft;35;45;50;62;65
2020;14;2020.04.04.;0;0 Ft;16;2 876 240 Ft;1538;32 770 Ft;48294;2 725 Ft;31;57;66;80;83
2020;13;2020.03.28.;1;6 431 516 010 Ft;41;1 913 465 Ft;3488;24 220 Ft;104123;2 115 Ft;20;33;39;50;64
2020;12;2020.03.21.;0;0 Ft;27;3 071 930 Ft;2493;35 830 Ft;88780;2 625 Ft;40;48;59;60;64
2020;11;2020.03.14.;0;0 Ft;50;2 095 225 Ft;5450;20 700 Ft;152366;1 930 Ft;12;20;30;41;77
2020;10;2020.03.07.;0;0 Ft;27;3 648 470 Ft;3914;27 105 Ft;125112;2 210 Ft;37;52;54;81;89
2020;9;2020.02.29.;0;0 Ft;105;952 080 Ft;8033;12 940 Ft;208011;1 325 Ft;13;15;17;23;37
2020;8;2020.02.22.;0;0 Ft;35;2 496 635 Ft;3839;23 670 Ft;115117;2 095 Ft;16;31;58;75;77
2020;7;2020.02.15.;0;0 Ft;41;2 021 030 Ft;3583;24 050 Ft;105717;2 165 Ft;28;41;52;57;86
2020;6;2020.02.08.;0;0 Ft;53;1 467 010 Ft;4098;19 730 Ft;113633;1 890 Ft;6;22;49;64;65
2020;5;2020.02.01.;0;0 Ft;36;2 009 445 Ft;3946;19 065 Ft;110053;1 815 Ft;5;18;63;76;80
2020;4;2020.01.25.;0;0 Ft;105;661 245 Ft;6824;10 580 Ft;149407;1 285 Ft;3;8;23;51;56
2020;3;2020.01.18.;0;0 Ft;128;528 295 Ft;5998;11 725 Ft;127283;1 465 Ft;18;23;56;57;73
2020;2;2020.01.11.;0;0 Ft;43;1 525 875 Ft;2989;22 830 Ft;83854;2 160 Ft;48;54;63;82;88
2020;1;2020.01.04.;0;0 Ft;84;706 570 Ft;4944;13 005 Ft;115977;1 450 Ft;4;27;53;67;68